"","ID","Case.Number","Date","Block","IUCR","Primary.Type","Description","Location.Description","Arrest","Domestic","Beat","District","Ward","Community.Area","FBI.Code","X.Coordinate","Y.Coordinate","Year","Updated.On","Latitude","Longitude","Location"
"485",21587,"HX457560","10/6/14","000XX E 44TH ST",110,"HOMICIDE","FIRST DEGREE MURDER","AUTO",FALSE,FALSE,215,2,3,38,"01A",1177656,1875870,2014,"8/17/2015 15:03",41.81471252,-87.62384855,"(41.814712519, -87.623848547)"
"486",21591,"HX455471","10/6/14","053XX S TALMAN AVE",110,"HOMICIDE","FIRST DEGREE MURDER","STREET",FALSE,FALSE,923,9,14,63,"01A",1159614,1869058,2014,"8/17/2015 15:03",41.79640922,-87.69021602,"(41.796409218, -87.690216023)"
"487",21586,"HX454514","10/4/14","044XX W VAN BUREN ST",110,"HOMICIDE","FIRST DEGREE MURDER","STREET",FALSE,FALSE,1131,11,24,26,"01A",1146781,1897652,2014,"8/17/2015 15:03",41.87512892,-87.73654777,"(41.87512892, -87.736547773)"
"488",21585,"HX454255","10/3/14","106XX S YATES AVE",110,"HOMICIDE","FIRST DEGREE MURDER","CHA PARKING LOT",TRUE,FALSE,434,4,10,51,"01A",1194343,1834949,2014,"8/17/2015 15:03",41.70202782,-87.56398196,"(41.702027818, -87.563981957)"
"489",21583,"HX451755","10/2/14","019XX E 78TH ST",110,"HOMICIDE","FIRST DEGREE MURDER","STREET",FALSE,FALSE,414,4,8,43,"01A",1190708,1853643,2014,"8/17/2015 15:03",41.75341435,-87.57669034,"(41.753414348, -87.57669034)"
"490",21581,"HX449928","9/30/14","026XX E 73RD ST",110,"HOMICIDE","FIRST DEGREE MURDER","STREET",TRUE,FALSE,334,3,7,43,"01A",1194932,1857474,2014,"8/17/2015 15:03",41.76382392,-87.56108522,"(41.763823915, -87.561085218)"
"491",21582,"HX448978","9/30/14","006XX N RIDGEWAY AVE",110,"HOMICIDE","FIRST DEGREE MURDER","STREET",FALSE,FALSE,1122,11,27,23,"01A",1151276,1903914,2014,"8/17/2015 15:03",41.89222557,-87.71987946,"(41.892225567, -87.719879463)"
"492",21580,"HX448843","9/29/14","009XX S INDEPENDENCE BLVD",110,"HOMICIDE","FIRST DEGREE MURDER","ALLEY",FALSE,FALSE,1133,11,24,29,"01A",1151403,1895634,2014,"8/17/2015 15:03",41.86950186,-87.71963049,"(41.869501863, -87.719630494)"
"493",21578,"HX447404","9/28/14","085XX S ESCANABA AVE",110,"HOMICIDE","FIRST DEGREE MURDER","STREET",TRUE,FALSE,423,4,10,46,"01A",1196965,1848964,2014,"8/17/2015 15:03",41.74042153,-87.55391654,"(41.74042153, -87.553916542)"
"494",21577,"HX447276","9/28/14","026XX W 66TH ST",110,"HOMICIDE","FIRST DEGREE MURDER","STREET",FALSE,FALSE,831,8,15,66,"01A",1159739,1860774,2014,"8/17/2015 15:03",41.77367421,-87.68998494,"(41.773674212, -87.689984935)"
"495",21589,"HX442273","9/28/14","085XX S COTTAGE GROVE AVE",110,"HOMICIDE","FIRST DEGREE MURDER","STREET",TRUE,FALSE,632,6,8,44,"01A",1183049,1848622,2014,"8/17/2015 15:03",41.73981759,-87.60491316,"(41.739817594, -87.604913162)"
"496",21576,"HX446571","9/28/14","034XX N ODELL AVE",110,"HOMICIDE","FIRST DEGREE MURDER","HOUSE",TRUE,TRUE,1631,16,36,17,"01A",1126482,1922047,2014,"8/17/2015 15:03",41.94243528,-87.81053304,"(41.942435275, -87.810533039)"
"497",21575,"HX446571","9/28/14","034XX N ODELL AVE",110,"HOMICIDE","FIRST DEGREE MURDER","HOUSE",TRUE,TRUE,1631,16,36,17,"01A",1126482,1922047,2014,"8/17/2015 15:03",41.94243528,-87.81053304,"(41.942435275, -87.810533039)"
"498",21574,"HX445686","9/27/14","065XX S MINERVA AVE",110,"HOMICIDE","FIRST DEGREE MURDER","APARTMENT",TRUE,TRUE,321,3,20,42,"01A",1185010,1861833,2014,"8/17/2015 15:03",41.7760241,-87.59731431,"(41.776024095, -87.597314305)"
"499",21573,"HX445136","9/27/14","045XX S HERMITAGE AVE",110,"HOMICIDE","FIRST DEGREE MURDER","STREET",FALSE,FALSE,924,9,20,61,"01A",1165442,1874498,2014,"8/17/2015 15:03",41.81121558,-87.66868994,"(41.811215583, -87.668689938)"
"500",21572,"HX444807","9/26/14","057XX S ABERDEEN ST",110,"HOMICIDE","FIRST DEGREE MURDER","STREET",FALSE,FALSE,712,7,16,68,"01A",1169962,1866766,2014,"8/17/2015 15:03",41.789901,-87.65233561,"(41.789901003, -87.652335605)"
